feature_id,old_locus_tag,gene_names,rast_function,bakta_function,agent_annotation,rast_class,bakta_class,agent_class,rast_category,best_source,best_annotation
ACIAD_RS16240,ACIAD3589,,"ABC transporter, permease protein (cluster 3, basic aa/glutamine/opines)","Putative amino acid transport protein (ABC superfamily, membrane) (GluP)","Inner membrane MetI-like 3-TM permease/flippase subunit (ArnE/ArnF family) that supports cell envelope modification (e.g., lipid A Ara4N decoration) and contributes to resistance to polymyxin and other cationic/quaternary-ammonium antimicrobials.",specific,specific,specific,transporter,RAST,"ABC transporter, permease protein (cluster 3, basic aa/glutamine/opines)"
ACIAD_RS16235,,,"ABC transporter, substrate-binding protein (cluster 3, basic aa/glutamine/opines)",Amino acid ABC transporter substrate-binding protein,"Predicted solute-binding protein family 3 domain-containing periplasmic protein (N-terminal domain similar to murein lytic transglycosylase MltF), likely involved in cell envelope/peptidoglycan-associated processes.",specific,specific,specific,transporter,RAST,"ABC transporter, substrate-binding protein (cluster 3, basic aa/glutamine/opines)"
ACIAD_RS16230,,purC,Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6),phosphoribosylaminoimidazolesuccinocarboxamide synthase,"Phosphoribosylaminoimidazole-succinocarboxamide synthase (PurC/SAICAR synthetase) catalyzing the ATP-dependent conversion of CAIR + aspartate to SAICAR in de novo IMP (purine) biosynthesis; mutants show reduced fitness in multiple minimal carbon/nitrogen-source conditions, consistent with a role in nucleotide synthesis needed for growth.",specific,specific,specific,enzyme,RAST,Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6)
ACIAD_RS16225,,,putative lipoprotein-34 precursor (NlpB),Lipoprotein-34 (NlpB),,specific,specific,missing,other_specific,RAST,putative lipoprotein-34 precursor (NlpB)
ACIAD_RS16220,,dapA,4-hydroxy-tetrahydrodipicolinate synthase (EC 4.3.3.7),4-hydroxy-tetrahydrodipicolinate synthase,"Putative 4-hydroxy-tetrahydrodipicolinate synthase (DapA; dihydrodipicolinate synthase family), a Schiff base-forming TIM-barrel aldolase catalyzing an early step of the diaminopimelate/lysine biosynthesis pathway.",specific,specific,specific,enzyme,RAST,4-hydroxy-tetrahydrodipicolinate synthase (EC 4.3.3.7)
ACIAD_RS16215,,pncA,Nicotinamidase (EC 3.5.1.19),bifunctional nicotinamidase/pyrazinamidase,"Xanthine dehydrogenase maturation factor (XdhC/CoxF family) that promotes insertion/handling of the molybdenum cofactor to assemble active xanthine dehydrogenase for purine (xanthine/inosine/adenosine/adenine) catabolism, supporting use of these compounds as carbon and/or nitrogen sources.",specific,specific,specific,enzyme,RAST,Nicotinamidase (EC 3.5.1.19)
ACIAD_RS16210,,,Uncharacterized sodium-dependent transporter YocS,Putative transporter putative sodium/bile acid transporter family protein,"Predicted Na+-dependent membrane solute transporter of the sodium/solute symporter (bile acid:sodium symporter/Acr3-like) family, likely mediating uptake of bile acids or related small anions.",specific,specific,specific,hypothetical,RAST,Uncharacterized sodium-dependent transporter YocS
ACIAD_RS16205,ACIAD3582,,Uncharacterized protein YbbK,2-thiouracil desulfurase,ThiI-like sulfurtransferase required for thiazole moiety formation in thiamine (vitamin B1) biosynthesis.,hypothetical,specific,specific,hypothetical,Agent,ThiI-like sulfurtransferase required for thiazole moiety formation in thiamine (vitamin B1) biosynthesis.
ACIAD_RS16200,,,N-acetyltransferase,Acetyltransferase (GNAT) family,"Putative GNAT-family acetyltransferase (YjdJ-type), predicted to catalyze acyl/acetyl transfer to an amine substrate.",specific,specific,specific,enzyme,RAST,N-acetyltransferase
ACIAD_RS16195,ACIAD3579,,Glyoxalase family protein,VOC domain-containing protein,"Putative extradiol ring-cleavage dioxygenase (Glyoxalase/Bleomycin resistance protein/dihydroxybiphenyl dioxygenase superfamily), likely catalyzing aromatic ring cleavage in compound catabolism.",specific,specific,specific,other_specific,RAST,Glyoxalase family protein
ACIAD_RS16180,,glmS,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16),glutamine--fructose-6-phosphate transaminase (isomerizing),"Bifunctional glucosamine--fructose-6-phosphate aminotransferase (isomerizing) (GlmS), catalyzing the first committed step of UDP-N-acetylglucosamine biosynthesis by converting fructose-6-phosphate and glutamine to glucosamine-6-phosphate.",specific,specific,specific,enzyme,RAST,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16)
ACIAD_RS16175,,glmU,N-acetylglucosamine-1-phosphate uridyltransferase (EC 2.7.7.23);Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157),bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU,Bifunctional GlmU enzyme that acetylates glucosamine-1-phosphate and then catalyzes UDP-N-acetylglucosamine synthesis (GlcN-1-P acetyltransferase / N-acetylglucosamine-1-phosphate uridyltransferase) for peptidoglycan precursor production.,specific,specific,specific,enzyme,RAST,N-acetylglucosamine-1-phosphate uridyltransferase (EC 2.7.7.23);Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)
ACIAD_RS16170,,,Phosphatidylglycerophosphatase A (EC 3.1.3.27),Phosphatidylglycerophosphatase A,"Predicted phosphatidylglycerophosphatase A (PgpA), a YutG/PgpA family membrane-associated phosphatase that dephosphorylates phosphatidylglycerophosphate to phosphatidylglycerol in phospholipid biosynthesis.",specific,specific,specific,enzyme,RAST,Phosphatidylglycerophosphatase A (EC 3.1.3.27)
ACIAD_RS16165,,thiL,Thiamine-monophosphate kinase (EC 2.7.4.16),thiamine-phosphate kinase,"Thiamine-monophosphate kinase (ThiL)-like enzyme that phosphorylates thiamine monophosphate to thiamine pyrophosphate (TPP), supporting thiamine/TPP cofactor biosynthesis and fitness across diverse growth and stress conditions.",specific,specific,specific,enzyme,RAST,Thiamine-monophosphate kinase (EC 2.7.4.16)
ACIAD_RS16160,,nusB,Transcription termination protein NusB,transcription antitermination factor NusB,"NusB family transcription antitermination factor that binds BoxA RNA and, with other Nus proteins, promotes efficient rRNA operon transcription by preventing premature termination.",specific,specific,specific,regulator,RAST,Transcription termination protein NusB
ACIAD_RS16155,,ribE,"6,7-dimethyl-8-ribityllumazine synthase (EC 2.5.1.78)","6,7-dimethyl-8-ribityllumazine synthase","Lumazine synthase (RibH), catalyzing a key step in riboflavin (vitamin B2) biosynthesis; required for optimal growth in defined media across diverse nitrogen sources.",specific,specific,specific,enzyme,RAST,"6,7-dimethyl-8-ribityllumazine synthase (EC 2.5.1.78)"
ACIAD_RS16150,,ribBA,"3,4-dihydroxy-2-butanone 4-phosphate synthase (EC 4.1.99.12);GTP cyclohydrolase II (EC 3.5.4.25)","bifunctional 3,4-dihydroxy-2-butanone-4-phosphate synthase/GTP cyclohydrolase II","Bifunctional riboflavin biosynthesis enzyme (RibBA) catalyzing GTP cyclohydrolase II and 3,4-dihydroxy-2-butanone 4-phosphate synthase steps in formation of riboflavin precursors.",specific,specific,specific,enzyme,RAST,"3,4-dihydroxy-2-butanone 4-phosphate synthase (EC 4.1.99.12);GTP cyclohydrolase II (EC 3.5.4.25)"
ACIAD_RS16145,ACIAD3568,,hypothetical protein,DUF4175 domain-containing protein,Glutathione-dependent maleylacetoacetate isomerase (HmgB)-like enzyme involved in homogentisate pathway/aromatic compound catabolism (conversion of maleylacetoacetate to fumarylacetoacetate in tyrosine/phenylalanine degradation).,hypothetical,hypothetical,specific,hypothetical,Agent,Glutathione-dependent maleylacetoacetate isomerase (HmgB)-like enzyme involved in homogentisate pathway/aromatic compound catabolism (conversion of maleylacetoacetate to fumarylacetoacetate in tyrosine/phenylalanine degradation).
ACIAD_RS16140,,serB,Phosphoserine phosphatase (EC 3.1.3.3),phosphoserine phosphatase SerB,"HAD-family phosphoserine phosphatase (SerB) that dephosphorylates 3-phospho-L-serine to L-serine (ACT-domain regulated), supporting serine/cysteine biosynthesis and fitness in minimal-growth conditions; frequently linked to sulfonate/sulfate utilization loci, consistent with demand for serine during sulfur assimilation.",specific,specific,specific,enzyme,RAST,Phosphoserine phosphatase (EC 3.1.3.3)
ACIAD_RS16130,ACIAD3565,,hypothetical protein,Permease,Predicted ciprofloxacin tolerance protein (putative factor involved in fluoroquinolone stress/drug tolerance).,hypothetical,specific,specific,hypothetical,Agent,Predicted ciprofloxacin tolerance protein (putative factor involved in fluoroquinolone stress/drug tolerance).
ACIAD_RS16125,ACIAD3564,,Superfamily II DNA and RNA helicases,SCP2 domain-containing protein,SCP2/YceI-family periplasmic lipid-binding protein likely involved in maintaining outer-membrane lipid homeostasis and contributing to stress tolerance.,specific,specific,specific,other_specific,RAST,Superfamily II DNA and RNA helicases
ACIAD_RS16120,,dtd,D-aminoacyl-tRNA deacylase (EC 3.1.1.96),D-aminoacyl-tRNA deacylase,D-aminoacyl-tRNA deacylase (DTD) translation-proofreading enzyme that hydrolyzes misacylated D-aminoacyl-tRNAs to maintain translational fidelity and support growth under diverse conditions.,specific,specific,specific,enzyme,RAST,D-aminoacyl-tRNA deacylase (EC 3.1.1.96)
ACIAD_RS16115,,pncB,Nicotinate phosphoribosyltransferase (EC 6.3.4.21),nicotinate phosphoribosyltransferase,Nicotinate phosphoribosyltransferase (PncB; EC 2.4.2.11) catalyzing conversion of nicotinate + PRPP to nicotinate mononucleotide in the NAD salvage/biosynthesis pathway; supports fitness during fluoride and other stress conditions.,specific,specific,specific,enzyme,RAST,Nicotinate phosphoribosyltransferase (EC 6.3.4.21)
ACIAD_RS16110,,,"Thiosulfate sulfurtransferase, rhodanese (EC 2.8.1.1)",Sulfurtransferase,Rhodanese-family sulfurtransferase (thiosulfate sulfurtransferase-like) that is associated with ABC-type anion uptake operons (nitrate/sulfonate/taurine/bicarbonate) and likely supports transport-linked utilization/signaling by processing imported sulfur oxyanions or bicarbonate.,specific,specific,specific,enzyme,RAST,"Thiosulfate sulfurtransferase, rhodanese (EC 2.8.1.1)"
ACIAD_RS16105,,psd,Phosphatidylserine decarboxylase (EC 4.1.1.65),archaetidylserine decarboxylase,Phosphatidylserine decarboxylase family protein that likely functions as a phosphatidylserine decarboxylase-like subunit of the N-methylglutamate synthase complex involved in methylamine utilization/nitrogen metabolism; mutants show modest fitness defects under several stress conditions.,specific,specific,specific,enzyme,RAST,Phosphatidylserine decarboxylase (EC 4.1.1.65)
ACIAD_RS16100,ACIAD3559,,PEGA domain-containing protein,PEGA domain-containing protein,Putative primary sigma-70 family RNA polymerase sigma factor (RpoD-like) that directs transcription initiation at housekeeping promoters.,specific,specific,specific,other_specific,RAST,PEGA domain-containing protein
ACIAD_RS16095,ACIAD3558,phoR,Phosphate regulon sensor protein PhoR (SphS) (EC 2.7.13.3),phosphate regulon sensor histidine kinase PhoR,"Putative PhoR-family two-component sensor histidine kinase, likely involved in sensing phosphate limitation and regulating the phosphate (Pho) regulon via a cognate response regulator.",specific,specific,specific,enzyme,RAST,Phosphate regulon sensor protein PhoR (SphS) (EC 2.7.13.3)
ACIAD_RS16090,ACIAD3557,phoB,Phosphate regulon transcriptional regulatory protein PhoB (SphR),phosphate regulon transcriptional regulator PhoB,"OmpR/PhoB-family two-component response regulator that controls transcription of amino-acid uptake/catabolic genes (e.g., proline utilization and glutamate/aspartate transport), influencing growth on several amino acids as carbon/nitrogen sources.",specific,specific,specific,regulator,RAST,Phosphate regulon transcriptional regulatory protein PhoB (SphR)
ACIAD_RS16085,ACIAD3556,,"Transcriptional regulator, AcrR family",TetR/AcrR family transcriptional regulator,"TetR-family helix-turn-helix (HTH) DNA-binding transcriptional regulator, likely functioning as a local regulator of adjacent gene expression.",specific,specific,specific,regulator,RAST,"Transcriptional regulator, AcrR family"
ACIAD_RS16080,ACIAD3555,,Putative short-chain dehydrogenase,Putative short-chain dehydrogenase,"Putative NAD(P)-dependent short-chain dehydrogenase/reductase encoded within a type VI secretion system (Imp/Vas) gene cluster, likely acting as an accessory cytosolic enzyme/regulator that influences T6SS-associated fitness under diverse nutrient and stress conditions.",specific,specific,specific,enzyme,RAST,Putative short-chain dehydrogenase
ACIAD_RS16075,ACIAD3554,,"Multi antimicrobial extrusion protein (Na(+)/drug antiporter), MATE family of MDR efflux pumps",MATE family efflux transporter,Predicted MdtK-like MATE family multidrug efflux transporter (multi-antimicrobial extrusion protein) involved in membrane export of diverse toxic compounds/antibiotics.,specific,specific,specific,transporter,RAST,"Multi antimicrobial extrusion protein (Na(+)/drug antiporter), MATE family of MDR efflux pumps"
ACIAD_RS16070,ACIAD3553,,Aspartate aminotransferase (EC 2.6.1.1),Pyridoxal phosphate-dependent aminotransferase,"Putative PLP-dependent class I/II aminotransferase (Kynurenine/branched-chain aminotransferase-like) encoded in a conserved type IV pili/chemosensory (pil/chp) gene cluster, implicated in regulating twitching motility/chemotaxis and contributing to stress/antibiotic fitness.",specific,specific,specific,enzyme,RAST,Aspartate aminotransferase (EC 2.6.1.1)
ACIAD_RS16065,ACIAD3552,,DUF445 domain-containing protein,DUF445 domain-containing protein,"DUF445 family accessory protein implicated in purine degradation, likely supporting xanthine dehydrogenase function during utilization of purine nucleosides/bases (e.g., inosine/adenosine/adenine).",hypothetical,hypothetical,hypothetical,other_specific,None available,
ACIAD_RS16060,ACIAD3551,,hypothetical protein,Lipoprotein,,hypothetical,specific,missing,hypothetical,Bakta,Lipoprotein
ACIAD_RS16055,ACIAD3550,,FIG027190: Putative transmembrane protein,DUF924 domain-containing protein,"Small DUF924 tetratricopeptide (TPR)-like protein likely acting as an accessory factor for sarcosine oxidase/glycine betaine–sarcosine utilization, contributing to cellular fitness under diverse stresses (antibiotics/aldehydes, methylglyoxal) and during motility/anaerobic growth.",specific,hypothetical,specific,other_specific,RAST,FIG027190: Putative transmembrane protein
